,artist,track
1234,Rammstein,DEUTSCHLAND
1235,Khalid,Self
1236,The Chainsmokers,Kills You Slowly
1237,Zara Larsson,Don't Worry Bout Me
1238,Shindy,Affalterbach
1239,Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy)
1240,Don Patricio,Contando Lunares (feat. Cruz Cafuné)
1241,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix
1242,BLACKPINK,Kill This Love
1243,Khalid,Talk (feat. Disclosure)
1244,Khalid,Outta My Head (with John Mayer)
1245,Jonas Brothers,Cool
1246,Khalid,Don't Pretend (feat. SAFE)
1247,Bazzi,Paradise
1248,Paulo Londra,Tal Vez
1249,Khalid,Bad Luck
1250,BLACKPINK,Don't Know What To Do
1251,Samra,Harami
1252,Khalid,Right Back
1253,Khalid,Free Spirit
1254,Khalid,Hundred
1255,Khalid,Intro
1256,Khalid,Paradise
1257,"Avicii, Aloe Blacc",SOS
1258,Khalid,Twenty One
1259,PNL,Deux frères
1260,Daya,Insomnia
1261,BLACKPINK,Kick It
1262,Dardan,cOcO MAmA
1263,PNL,Autre monde
1264,MC Kevin o Chris,Ela É do Tipo
1265,PNL,Blanka
1266,PNL,Chang
1267,BTS,Boy With Luv (feat. Halsey)
1268,BTS,Mikrokosmos
1269,BTS,Make It Right
1270,BTS,HOME
1271,Lil Uzi Vert,Sanguine Paradise
1272,BTS,Dionysus
1273,BTS,Jamais Vu
1274,BTS,Intro : Persona
1275,"Capital Bra, Summer Cem, KC Rebell",Rolex
1276,Ellie Goulding,Sixteen
1277,ScHoolboy Q,CHopstix (with Travis Scott)
1278,"Sia, LSD","No New Friends (feat. Sia, Diplo, and Labrinth)"
1279,Lil Uzi Vert,That's a Rack
1280,"MEDUZA, Goodboys",Piece Of Your Heart
1281,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix
1282,Avicii,Wake Me Up
1283,Danny Ocean,Swing
1284,"Rauw Alejandro, Nicky Jam",Que Le De
1285,"SZA, The Weeknd, Travis Scott, Game of Thrones",Power is Power
1286,Lil Dicky,Earth
1287,"Kygo, Rita Ora","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")"
1288,Beyoncé,Before I Let Go - Homecoming Live Bonus Track
1289,Polo G,Pop Out (feat. Lil Tjay)
1290,"Daddy Yankee, Katy Perry, Snow",Con Calma - Remix
1291,Jonas Blue,What I Like About You (feat. Theresa Rex)
1292,"Why Don't We, Macklemore",I Don't Belong In This Club
1293,Guaynaa,Rebota
1294,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco)
1295,"SZA, Game of Thrones",Power is Power (feat. The Weeknd & Travis Scott)
1296,Lizzo,Truth Hurts
1297,Stormzy,Vossi Bop
1298,Marshmello,Light It Up (with Tyga & Chris Brown)
1299,ScHoolboy Q,Floating (feat. 21 Savage)
1300,"Sech, Darell",Otro Trago
1301,ScHoolboy Q,CHopstix (feat. Travis Scott)
1302,Lauv,Drugs & The Internet
1303,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila - Remix
1304,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
1305,TWICE,FANCY
1306,"Ufo361, RIN",Next
1307,Panic! At The Disco,"Hey Look Ma, I Made It"
1308,DaBaby,Suge
1309,DJ Snake,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)"
1310,Alessia Cara,Out Of Love
1311,P!nk,Hurts 2B Human (feat. Khalid)
1312,Kina,Get You The Moon (feat. Snøw)
1313,Lizzo,Juice
1314,The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow)
1315,Offset,Clout (feat. Cardi B)
1316,"Logic, Eminem",Homicide
1317,Shawn Mendes,If I Can't Have You
1318,Juju,Vermissen (feat. Henning May)
1319,Lewis Capaldi,Hold Me While You Wait
1320,KAROL G,Punto G
1321,"YG, Tyga, Jon Z",Go Loko
1322,Twenty One Pilots,Chlorine
1323,"Luis Fonsi, Sebastian Yatra, Nicky Jam",Date La Vuelta
1324,Ed Sheeran,I Don't Care (with Justin Bieber)
1325,Logic,Homicide (feat. Eminem)
1326,"Lunay, Daddy Yankee, Bad Bunny",Soltera - Remix
1327,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix
1328,"Avicii, Agnes, Vargas & Lagola",Tough Love
1329,Billie Eilish,lovely (with Khalid)
1330,Shindy,Nautilus
1331,"ZAYN, Zhavia Ward","A Whole New World (End Title) - From ""Aladdin"""
1332,David Guetta,Stay (Don't Go Away) [feat. Raye]
1333,Logic,Icy (feat. Gucci Mane)
1334,"Jax Jones, Madison Beer",All Day And Night - Jax Jones & Martin Solveig Present Europa
1335,James Arthur,Falling Like The Stars
1336,Logic,COMMANDO (feat. G-Eazy)
1337,"Tyler, The Creator",EARFQUAKE
1338,Halsey,Nightmare
1339,"Tyler, The Creator",I THINK
1340,Duncan Laurence,Arcade
1341,"Tyler, The Creator",RUNNING OUT OF TIME
1342,"Samra, Capital Bra",Wieder Lila
1343,"Tyler, The Creator",IGOR'S THEME
1344,"Tyler, The Creator",NEW MAGIC WAND
1345,"Tyler, The Creator",A BOY IS A GUN*
1346,DJ Khaled,Just Us (feat. SZA)
1347,"Tyler, The Creator",WHAT'S GOOD
1348,OneRepublic,Rescue Me
1349,DJ Khaled,Celebrate (feat. Travis Scott & Post Malone)
1350,"Tyler, The Creator",PUPPET
1351,Maluma,11 PM
1352,"Tyler, The Creator","GONE, GONE / THANK YOU"
1353,DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage)
1354,DJ Khaled,Higher (feat. Nipsey Hussle & John Legend)
1355,"Tyler, The Creator",ARE WE STILL FRIENDS?
1356,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE
1357,Lana Del Rey,Doin' Time
1358,Lewis Capaldi,Bruises
1359,Paulo Londra,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)
1360,DJ Khaled,"Jealous (feat. Chris Brown, Lil Wayne & Big Sean)"
1361,MAX,Love Me Less (feat. Quinn XCII)
1362,Slipknot,Unsainted
1363,Kontra K,Letzte Träne
1364,"Chance the Rapper, TisaKorean, Murda Beatz",GRoCERIES
1365,"Ufo361, Luciano",Gib Gas
1366,Young Thug,The London (feat. J. Cole & Travis Scott)
1367,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock)
1368,5 Seconds of Summer,Easier
1369,"Joyner Lucas, Logic",Isis
1370,YG,"Go Loko (feat. Tyga, Jon Z)"
1371,"Kygo, Chelsea Cutler",Not Ok
1372,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix
1373,Samra,Marlboro Rot
1374,RIN,Vintage
1375,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno
1376,Paulo Londra,Homerun (Intro)
1377,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo
1378,Katy Perry,Never Really Over
1379,Miley Cyrus,Mother's Daughter
1380,"Bad Bunny, Tainy",Callaita
1381,"The Chainsmokers, Bebe Rexha",Call You Mine
1382,Mark Ronson,Find U Again (feat. Camila Cabello)
1383,Cardi B,Press
1384,"Tiësto, Jonas Blue, Rita Ora",Ritual
1385,ROSALÍA,Aute Cuture
1386,Luciano,La Haine
1387,Trippie Redd,Under Enemy Arms
1388,NF,The Search
1389,Lil Tecca,Ransom
1390,Miley Cyrus,Unholy
1391,Miley Cyrus,D.R.E.A.M. (feat. Ghostface Killah)
1392,Tory Lanez,Broke Leg (with Quavo & Tyga)
1393,Gucci Mane,Love Thru The Computer (feat. Justin Bieber)
1394,"Mau y Ricky, Camilo",La Boca
1395,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
1396,NLE Choppa,Shotta Flow
1397,Avicii,SOS (feat. Aloe Blacc)
1398,Avicii,Heaven
1399,Chris Brown,No Guidance (feat. Drake)
1400,Jonas Brothers,Only Human
1401,"BTS, Charli XCX",Dream Glow (BTS World Original Soundtrack) - Pt. 1
1402,"Gemitaiz, MadMan",Veleno 7
1403,Tyga,Haute (feat. J Balvin & Chris Brown)
1404,Ozuna,Amor Genuino
1405,Avicii,"Tough Love (feat. Agnes, Vargas & Lagola)"
1406,Mabel,Mad Love
1407,"R3HAB, A Touch Of Class",All Around The World (La La La)
1408,"Nekfeu, Damso",Tricheur
1409,Farid Bang,Maghreb Gang (feat. French Montana & Khaled)
1410,Avicii,Heart Upon My Sleeve (feat. Imagine Dragons)
1411,Avicii,Bad Reputation (feat. Joe Janiak)
1412,Avicii,Hold The Line (feat. A R I Z O N A)
1413,Naomi Scott,Speechless (Full)
1414,Jonas Brothers,I Believe
1415,Ozuna,Te Soñé De Nuevo
1416,Ufo361,Irina Shayk
1417,Fero47,NENENE
1418,Taylor Swift,You Need To Calm Down
1419,Drake,Money In The Grave (Drake ft. Rick Ross)
1420,Joji,Sanctuary
1421,"DJ Snake, J Balvin",Loco Contigo (with J. Balvin & Tyga)
1422,MERO,Olabilir
1423,Drake,Omertà
1424,Ali Gatie,It's You
1425,"Kalazh44, Capital Bra, Samra, Nimo, Luciano",Royal Rumble
1426,Bazzi,Focus (feat. 21 Savage)
1427,"BTS, Zara Larsson",A Brand New Day (BTS World Original Soundtrack) [Pt. 2]
1428,Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC
1429,Summer Cem,Diamonds (feat. Capital Bra)
1430,Dreamville,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)"
1431,Little Mix,Bounce Back
1432,Alesso,Sad Song (feat. TINI)
1433,Blanco Brown,The Git Up
1434,"Shawn Mendes, Camila Cabello",Señorita
1435,Lil Nas X,Panini
1436,"Lil Nas X, Cardi B",Rodeo
1437,"Capital Bra, Samra",Tilidin
1438,"Marshmello, Kane Brown",One Thing Right
1439,"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers",Runaway
1440,"Y2K, bbno$",Lalala
1441,Nicki Minaj,MEGATRON
1442,Ashley O,On A Roll
1443,"Dardan, Eno",weR mAChT PaRA 2
1444,Zara Larsson,All the Time
1445,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker)
1446,Sam Feldt,Post Malone (feat. RANI)
1447,"BTS, Juice WRLD",All Night (BTS World Original Soundtrack) [Pt. 3]
1448,"Lil Baby, Future",Out The Mud
1449,"Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel",Tú No Amas
1450,Ed Sheeran,Beautiful People (feat. Khalid)
1451,"J Balvin, Bad Bunny",QUE PRETENDES
1452,"J Balvin, Bad Bunny",LA CANCIÓN
1453,"Kygo, Whitney Houston",Higher Love
1454,Chris Brown,Don't Check On Me (feat. Justin Bieber & Ink)
1455,"J Balvin, Bad Bunny",MOJAITA
1456,Ellie Goulding,Hate Me (with Juice WRLD)
1457,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO
1458,SHIRIN DAVID,ON OFF (feat. Maître Gims)
1459,"J Balvin, Bad Bunny",YO LE LLEGO
1460,"Ufo361, Data Luv",Shot
1461,"Daddy Yankee, Wisin & Yandel",Si Supieras
1462,BTS,Heartbeat (BTS World Original Soundtrack)
1463,NF,When I Grow Up
1464,"J Balvin, Bad Bunny, Mr Eazi",COMO UN BEBÉ
1465,"J Balvin, Bad Bunny",ODIO
1466,"J Balvin, Bad Bunny",CUIDAO POR AHÍ
1467,"Ozuna, Anuel AA",Cambio
1468,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)"
1469,Post Malone,Goodbyes (Feat. Young Thug)
1470,Ed Sheeran,Best Part of Me (feat. YEBBA)
1471,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby)
1472,Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars)
1473,Loredana,Jetzt rufst du an
1474,"MACHETE, Dani Faiv, tha Supreme",YOSHI (feat. Fabri Fibra) - prod. Strage
1475,Lil Nas X,C7osure (You Like)
1476,"MACHETE, Salmo, Lazza",HO PAURA DI USCIRE 2 - prod. Mace
1477,"Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike",Instagram
1478,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)"
1479,Lizzo,Good As Hell
1480,"MACHETE, Salmo, Nitro",MARYLEAN (feat. Marracash) - prod. Low Kidd
1481,ROSALÍA,Milionària
1482,Dreamville,Sunset (with J. Cole feat. Young Nudy)
1483,Jeremy Zucker,comethru
1484,Ed Sheeran,Antisocial (with Travis Scott)
1485,Billie Eilish,bad guy (with Justin Bieber)
1486,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B)
1487,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent)
1488,Ed Sheeran,Take Me Back to London (feat. Stormzy)
1489,Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave)
1490,Ed Sheeran,Put It All on Me (feat. Ella Mai)
1491,Ed Sheeran,Feels (feat. Young Thug & J Hus)
1492,"Lil Nas X, Billy Ray Cyrus, Mason Ramsey, Young Thug",Old Town Road - Remix
1493,Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)
1494,Ed Sheeran,Way To Break My Heart (feat. Skrillex)
1495,Ed Sheeran,I Don't Want Your Money (feat. H.E.R.)
1496,"Samra, Capital Bra",Zombie
1497,Reynmen,Ela
1498,David Guetta,Thing For You (With Martin Solveig)
1499,NF,Time - Edit
1500,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix]
1501,Paulo Londra,Por Eso Vine
1502,Shindy,Raffaello
1503,The Police,Every Breath You Take
1504,Beyoncé,"SPIRIT - From Disney's ""The Lion King"""
1505,Jax Jones,Harder (with Bebe Rexha)
1506,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China
1507,Sam Smith,How Do You Sleep?
1508,"DJ Snake, J Balvin, Tyga",Loco Contigo
1509,"Beyoncé, JAY-Z, Childish Gambino",MOOD 4 EVA (feat. Oumou Sangaré)
1510,Tones And I,Dance Monkey
1511,Bazzi,I.F.L.Y.
1512,"Blue Ivy, SAINt JHN, Beyoncé, WizKid",BROWN SKIN GIRL
1513,Taylor Swift,The Archer
1514,"Quality Control, Lil Baby, DaBaby",Baby
1515,Norm Ender,Mekanın Sahibi
1516,"Guaynaa, Nicky Jam, Farruko, Becky G, Sech",Rebota - Remix
1517,"KC Rebell, RAF Camora",Neptun
1518,XXXTENTACION,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)"
1519,NAV,Tap (feat. Meek Mill)
1520,"Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night
1521,Journey,Don't Stop Believin'
1522,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix
1523,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix
1524,"DJ Snake, J Balvin",Loco Contigo (feat. J. Balvin & Tyga)
1525,"The Chainsmokers, ILLENIUM",Takeaway (feat. Lennon Stella)
1526,Lil Nas X,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix
1527,Rick Ross,Gold Roses (feat. Drake)
1528,"Chance the Rapper, MadeinTYO, DaBaby",Hot Shower
1529,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)"
1530,"Residente, Bad Bunny",Bellacoso
1531,"Chance the Rapper, Death Cab for Cutie",Do You Remember
1532,"Dayvi, Victor Cardenas, Kelly Ruíz",Baila Conmigo (feat. Kelly Ruiz)
1533,NF,Leave Me Alone
1534,"Chance the Rapper, John Legend",All Day Long
1535,"Mau y Ricky, Camilo, Lunay",La Boca - Remix
1536,Cordae,RNP (feat. Anderson .Paak)
1537,"Ufo361, RAF Camora",Nummer
1538,DJ Snake,"Fuego (with Sean Paul & Anitta, feat. Tainy)"
1539,Ariana Grande,boyfriend (with Social House)
1540,"Lauv, Anne-Marie","fuck, i'm lonely"
1541,"Myke Towers, Farruko, Arcangel, Sech, Zion",Si Se Da - Remix
1542,"Loredana, Mozzik",Eiskalt
1543,"Nicky Jam, Sech",Atrévete
1544,Drake,How Bout Now
1545,Lil Tecca,Love Me
1546,Drake,The Motion
1547,Drake,Trust Issues
1548,Drake,Dreams Money Can Buy
1549,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
1550,Katy Perry,Small Talk
1551,"Camilo, Pedro Capó",Tutu
1552,"Labrinth, Zendaya",All For Us - from the HBO Original Series Euphoria
1553,Khalid,Right Back (feat. A Boogie Wit Da Hoodie)
1554,Bazzi,No Way!
1555,Duki,Goteo
1556,Trippie Redd,Snake Skin
1557,Trippie Redd,!
1558,Saweetie,My Type
1559,"Trippie Redd, Lil Baby, Lil Duke",Mac 10
1560,WOS,CANGURO
1561,Taylor Swift,Lover
1562,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix)
1563,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi"
1564,Miley Cyrus,Slide Away
1565,Normani,Motivation
1566,Young Thug,Bad Bad Bad (feat. Lil Baby)
1567,Quality Control,Baby (Lil Baby feat. DaBaby)
1568,Swae Lee,Won't Be Late (feat. Drake)
1569,Lizzo,Good as Hell
1570,Lil Tecca,Ransom (with Juice WRLD) - Remix
1571,Young Thug,Hot (feat. Gunna)
1572,"Bizarrap, Nicki Nicole","Nicki Nicole: Bzrp Music Sessions, Vol. 13"
1573,Jorja Smith,Be Honest (feat. Burna Boy)
1574,Lil Tecca,Did It Again
1575,Young Thug,Surf (feat. Gunna)
1576,Young Thug,What's the Move (feat. Lil Uzi Vert)
1577,"Ozuna, Barloe Team",Te Soñé de Nuevo
1578,Taylor Swift,The Man
1579,Taylor Swift,Cruel Summer
1580,Taylor Swift,I Forgot That You Existed
1581,Taylor Swift,Paper Rings
1582,Taylor Swift,Miss Americana & The Heartbreak Prince
1583,Taylor Swift,I Think He Knows
1584,Taylor Swift,Cornelia Street
1585,Taylor Swift,London Boy
1586,Taylor Swift,Death By A Thousand Cuts
1587,Taylor Swift,Afterglow
1588,Taylor Swift,False God
1589,Tainy,Adicto (with Anuel AA & Ozuna)
1590,Taylor Swift,Soon You’ll Get Better (feat. The Chicks)
1591,5 Seconds of Summer,Teeth
1592,Taylor Swift,Daylight
1593,Taylor Swift,It’s Nice To Have A Friend
1594,"Capital Bra, Samra",Nummer 1
1595,Apache 207,Roller
1596,BROCKHAMPTON,NO HALO
1597,blackbear,hot girl bummer
1598,Lana Del Rey,Fuck it I love you
1599,Charlie Puth,I Warned Myself
1600,BROCKHAMPTON,SUGAR
1601,Post Malone,Circles
1602,Lana Del Rey,Norman fucking Rockwell
1603,A$AP Rocky,Babushka Boi
1604,benny blanco,Graduation (with Juice WRLD)
1605,Lil Tecca,Shots
1606,Lana Del Rey,Cinnamon Girl
1607,Lana Del Rey,Mariners Apartment Complex
1608,"Big Sean, Hit-Boy",Bezerk (feat. A$AP Ferg)
1609,Lana Del Rey,Love song
1610,RIN,UP IN SMOKE
1611,Lana Del Rey,Venice Bitch
1612,Dímelo Flow,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)"
1613,Lil Tjay,F.N
1614,Lana Del Rey,The greatest
1615,Lana Del Rey,California
1616,Post Malone,Saint-Tropez
1617,Post Malone,Hollywood's Bleeding
1618,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
1619,Post Malone,Enemies (feat. DaBaby)
1620,Post Malone,Die For Me (feat. Future & Halsey)
1621,Post Malone,On The Road (feat. Meek Mill & Lil Baby)
1622,Post Malone,A Thousand Bad Times
1623,Post Malone,Allergic
1624,Post Malone,I'm Gonna Be
1625,Post Malone,Staring At The Sun (feat. SZA)
1626,Camila Cabello,Liar
1627,Post Malone,Myself
1628,Post Malone,I Know
1629,Post Malone,Internet
1630,Camila Cabello,Shameless
1631,"Loredana, MERO",Kein Plan
1632,"Samra, Capital Bra",Huracan
1633,OneRepublic,Wanted
1634,Regard,Ride It
1635,"Reik, J Balvin, Lalo Ebratt",Indeciso
1636,YNW Melly,223's (feat. 9lokknine)
1637,"Manuel Turizo, Anuel AA",Te Quemaste
1638,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)
1639,Halsey,Graveyard
1640,Drake,Behind Barz - Bonus
1641,NLE Choppa,Camelot
1642,"Major Lazer, Diplo",Que Calor (with J Balvin & El Alfa)
1643,Lil Nas X,Panini - DaBaby Remix
1644,Loredana,Genick
1645,A Boogie Wit da Hoodie,Mood Swings
1646,"Justin Quiles, Natti Natasha, Farruko","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix"
1647,Maroon 5,Memories
1648,"Capital Bra, Samra, LEA",110
1649,Apache 207,200 km/h
1650,DaBaby,INTRO
1651,"Rich Music LTD, Dalex, Sech, Justin Quiles, Wisin, Zion, Dímelo Flow, Lenny Tavárez, Feid",Quizás
1652,"Bushido, Animus",Ronin
1653,Summer Cem,Summer Cem (feat. Luciano)
1654,Lauv,Feelings
1655,"C. Tangana, Paloma Mami, Alizzz",No Te Debí Besar
1656,RAF Camora,Adriana
1657,TWICE,Feel Special
1658,"Earth, Wind & Fire",September
1659,Joji,SLOW DANCING IN THE DARK
1660,"Noriel, Myke Towers, Rauw Alejandro, Almighty",Cuerpo en Venta
1661,Diplo,Heartless (feat. Morgan Wallen)
1662,DaBaby,BOP
1663,"French Montana, Rvssian",Writing on the Wall (feat. Post Malone & Cardi B)
1664,DaBaby,VIBEZ
1665,"Maluma, J Balvin",Qué Pena
1666,"Sech, Ozuna",Si Te Vas
1667,"The Cratez, Bonez MC",Honda Civic
1668,"Diplo, Jonas Brothers",Lonely
1669,"Rauw Alejandro, Farruko",Fantasias
1670,DaBaby,RAW SHIT (feat. Migos)
1671,"Sido, Apache 207",2002
1672,j-hope,Chicken Noodle Soup (feat. Becky G)
1673,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo)
1674,Zedd,Good Thing (with Kehlani)
1675,24kGoldn,VALENTINO
1676,RIN,Fabergé
1677,SHAED,Trampoline (with ZAYN)
1678,Lil Mosey,Stuck In A Dream (feat. Gunna)
1679,Travis Scott,HIGHEST IN THE ROOM
1680,Dan + Shay,"10,000 Hours (with Justin Bieber)"
1681,Juice WRLD,Bandit (with YoungBoy Never Broke Again)
1682,Camila Cabello,Cry for Me
1683,Gambi,POPOPOP
1684,Dermot Kennedy,Outnumbered
1685,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version
1686,Niall Horan,Nice To Meet Ya
1687,"Capital Bra, Samra",Berlin lebt wie nie zuvor
1688,SuperM,Jopping
1689,Summer Walker,Come Thru (with Usher)
1690,"Murda, Ezhel",AYA
1691,Mustard,Ballin' (with Roddy Ricch)
1692,Harry Styles,Lights Up
1693,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas
1694,Camila Cabello,Easy
1695,"Ufo361, Ezhel",Wir sind Kral
1696,"TINI, Sebastian Yatra",Oye
1697,YoungBoy Never Broke Again,Make No Sense
1698,"Dalex, Lenny Tavárez",Bellaquita
1699,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life)
1700,Why Don't We,What Am I
1701,Tame Impala,The Less I Know The Better
1702,RAF Camora,Puta Madre
1703,Selena Gomez,Lose You To Love Me
1704,BTS,Make It Right (feat. Lauv)
1705,Katy Perry,Harleys In Hawaii
1706,Apache 207,Wieso tust Du dir das an?
1707,"MEDUZA, Becky Hill, Goodboys",Lose Control
1708,"RIN, Bausa",Keine Liebe
1709,Daddy Yankee,Que Tire Pa Lante
1710,"Jorja Smith, Burna Boy",Be Honest
1711,Frank Ocean,DHL
1712,G-Eazy,I Wanna Rock (feat. Gunna)
1713,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie",Somebody
1714,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk
1715,Kanye West,Follow God
1716,Selena Gomez,Look At Her Now
1717,Kanye West,Closed On Sunday
1718,Kanye West,On God
1719,Kanye West,Selah
1720,"Kanye West, Ty Dolla $ign, Ant Clemons",Everything We Need
1721,"Kanye West, Clipse, Kenny G",Use This Gospel
1722,"Kanye West, Sunday Service Choir",Every Hour
1723,Kanye West,God Is
1724,"Kanye West, Ant Clemons",Water
1725,Lizzo,Good as Hell (feat. Ariana Grande) - Remix
1726,"Kanye West, Fred Hammond",Hands On
1727,"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger
1728,Coldplay,Orphans
1729,Kanye West,Jesus Is Lord
1730,"Lunay, Ozuna, Anuel AA",Aventura
1731,Omar Montes,Alocao (With Bad Gyal)
1732,Arizona Zervas,ROXANNE
1733,"Tyga, YG, Santana",MAMACITA
1734,Apache 207,Doch in der Nacht
1735,Noah Cyrus,July
1736,AC/DC,Highway to Hell
1737,Dua Lipa,Don't Start Now
1738,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott]
1739,Ariana Grande,Bad To You (with Normani & Nicki Minaj)
1740,"Nicky Jam, Anuel AA",Whine Up
1741,21 Savage,Immortal
1742,Nimo,KARMA
1743,Martin Garrix,Used To Love (with Dean Lewis)
1744,Marracash,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)
1745,Trippie Redd,Love Me More
1746,Frank Ocean,In My Room
1747,Ant Saunders,Yellow Hearts
1748,Lil Baby,Woah
1749,tha Supreme,blun7 a swishland
1750,"KAROL G, Nicki Minaj",Tusa
1751,Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”"
1752,Doja Cat,Candy
1753,Billie Eilish,everything i wanted
1754,"True Damage, Becky G, Keke Palmer, SOYEON of (G)I-DLE, Duckwrth, Thutmose, League of Legends",GIANTS
1755,The Chainsmokers,Push My Luck
1756,JP Saxe,If the World Was Ending - feat. Julia Michaels
1757,The Chainsmokers,Call You Mine (feat. Bebe Rexha)
1758,Ozuna,Hasta Que Salga el Sol
1759,"Riton, Oliver Heldens",Turn Me On (feat. Vula)
1760,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella
1761,"Kina, Adriana Proenza",Can We Kiss Forever?
1762,"Doja Cat, Tyga",Juicy
1763,Harry Styles,Watermelon Sugar
1764,"Lauv, LANY",Mean It
1765,Taylor Swift,Lover (Remix) [feat. Shawn Mendes]
1766,Khalid,Up All Night
1767,Trevor Daniel,Falling
1768,Marshmello,Tongue Tied (with YUNGBLUD & blackbear)
1769,Tory Lanez,Jerry Sprunger (with T-Pain)
1770,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert)
1771,Camila Cabello,Living Proof
1772,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix
1773,J Balvin,Blanco
1774,Tyga,Ayy Macarena
1775,tha Supreme,fuck 3x
1776,"Bryant Myers, Anuel AA",Gan-Ga - Remix
1777,Bad Bunny,Vete
1778,Lewis Capaldi,Before You Go
1779,The Weeknd,Heartless
1780,Stormzy,Own It (feat. Ed Sheeran & Burna Boy)
1781,PARTYNEXTDOOR,LOYAL (feat. Drake)
1782,"Trippie Redd, Juice WRLD, YNW Melly",6 Kiss
1783,Trippie Redd,Who Needs Love
1784,"Idina Menzel, AURORA",Into the Unknown
1785,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever
1786,"Trippie Redd, DaBaby",Death
1787,Brenda Lee,Rockin' Around The Christmas Tree
1788,KSI,"Down Like That (feat. Rick Ross, Lil Baby & S-X)"
